,t1,t2,diff
0,0:00:58.768000,0:00:58.942000,174.0
1,0:00:57.374000,0:00:57.489000,115.0
2,0:00:55.689000,0:00:55.806000,117.0
3,0:00:53.713000,0:00:53.887000,174.0
4,0:00:51.276000,0:00:51.451000,175.0
5,0:00:49.532000,0:00:49.648000,116.0
6,0:00:45.233000,0:00:45.349000,116.0
7,0:00:47.383000,0:00:47.442000,59.0
8,0:00:41.396000,0:00:41.512000,116.0
9,0:00:39.365000,0:00:39.481000,116.0
10,0:00:43.430000,0:00:43.547000,117.0
11,0:00:37.329000,0:00:37.445000,116.0
12,0:00:35.001000,0:00:35.176000,175.0
13,0:00:33.314000,0:00:33.431000,117.0
14,0:00:31.337000,0:00:31.454000,117.0
15,0:00:29.592000,0:00:29.708000,116.0
16,0:00:27.444000,0:00:27.561000,117.0
17,0:00:25.293000,0:00:25.410000,117.0
18,0:00:17.386000,0:00:17.560000,174.0
19,0:00:15.176000,0:00:15.292000,116.0
20,0:00:13.432000,0:00:13.548000,116.0
21,0:00:11.979000,0:00:12.096000,117.0
22,0:00:10.856000,0:00:10.930000,74.0
23,0:00:23.257000,0:00:23.431000,174.0
24,0:00:21.512000,0:00:21.629000,117.0
25,0:00:19.419000,0:00:19.535000,116.0
26,0:00:09.538000,0:00:09.654000,116.0
27,0:03:02.558000,0:03:02.675000,117.0
28,0:00:07.211000,0:00:07.386000,175.0
29,0:00:08.375000,0:00:08.491000,116.0
30,0:02:12.549000,0:02:12.665000,116.0
31,0:02:10.690000,0:02:10.807000,117.0
32,0:02:06.860000,0:02:06.977000,117.0
33,0:02:02.559000,0:02:02.675000,116.0
34,0:02:03.954000,0:02:04.071000,117.0
35,0:01:59.710000,0:01:59.826000,116.0
36,0:02:01.453000,0:02:01.569000,116.0
37,0:01:57.502000,0:01:57.619000,117.0
38,0:01:56.399000,0:01:56.514000,115.0
39,0:01:53.492000,0:01:53.669000,177.0
40,0:01:51.285000,0:01:51.400000,115.0
41,0:01:49.311000,0:01:49.428000,117.0
42,0:01:47.686000,0:01:47.802000,116.0
43,0:01:46.407000,0:01:46.523000,116.0
44,0:01:45.013000,0:01:45.187000,174.0
45,0:01:39.556000,0:01:39.728000,172.0
46,0:01:41.471000,0:01:41.587000,116.0
47,0:01:43.504000,0:01:43.620000,116.0
48,0:01:38.510000,0:01:38.626000,116.0
49,0:01:36.534000,0:01:36.651000,117.0
50,0:01:34.557000,0:01:34.732000,175.0
51,0:01:32.698000,0:01:32.815000,117.0
52,0:01:30.432000,0:01:30.548000,116.0
53,0:01:28.342000,0:01:28.457000,115.0
54,0:01:26.365000,0:01:26.482000,117.0
55,0:01:24.448000,0:01:24.564000,116.0
56,0:01:22.296000,0:01:22.412000,116.0
57,0:01:20.378000,0:01:20.495000,117.0
58,0:01:18.345000,0:01:18.462000,117.0
59,0:01:16.313000,0:01:16.430000,117.0
60,0:01:14.451000,0:01:14.567000,116.0
61,0:01:12.303000,0:01:12.418000,115.0
62,0:01:08.410000,0:01:08.526000,116.0
63,0:01:04.341000,0:01:04.458000,117.0
64,0:01:10.615000,0:01:10.733000,118.0
65,0:01:06.375000,0:01:06.492000,117.0
66,0:01:02.308000,0:01:02.423000,115.0
67,0:01:00.506000,0:01:00.622000,116.0
68,0:02:14.690000,0:02:14.813000,123.0
69,0:03:29.485000,0:03:29.601000,116.0
70,0:03:26.518000,0:03:26.634000,116.0
71,0:03:24.428000,0:03:24.544000,116.0
72,0:03:22.338000,0:03:22.454000,116.0
73,0:03:20.303000,0:03:20.419000,116.0
74,0:03:18.325000,0:03:18.501000,176.0
75,0:03:16.699000,0:03:16.757000,58.0
76,0:03:15.595000,0:03:15.712000,117.0
77,0:03:14.375000,0:03:14.491000,116.0
78,0:03:09.608000,0:03:09.724000,116.0
79,0:03:08.215000,0:03:08.330000,115.0
80,0:03:07.399000,0:03:07.516000,117.0
81,0:03:04.494000,0:03:04.610000,116.0
82,0:03:03.331000,0:03:03.448000,117.0
83,0:03:02.341000,0:03:02.457000,116.0
84,0:03:00.539000,0:03:00.714000,175.0
85,0:02:57.228000,0:02:57.344000,116.0
86,0:02:55.774000,0:02:55.891000,117.0
87,0:02:53.450000,0:02:53.566000,116.0
88,0:02:52.521000,0:02:52.636000,115.0
89,0:02:49.441000,0:02:49.558000,117.0
90,0:02:48.395000,0:02:48.570000,175.0
91,0:02:45.606000,0:02:45.723000,117.0
92,0:02:44.675000,0:02:44.792000,117.0
93,0:02:42.293000,0:02:42.469000,176.0
94,0:02:41.480000,0:02:41.596000,116.0
95,0:02:39.387000,0:02:39.504000,117.0
96,0:02:38.515000,0:02:38.632000,117.0
97,0:02:36.363000,0:02:36.479000,116.0
98,0:02:35.493000,0:02:35.608000,115.0
99,0:02:33.400000,0:02:33.574000,174.0
100,0:02:31.423000,0:02:31.539000,116.0
101,0:02:29.450000,0:02:29.565000,115.0
102,0:02:27.301000,0:02:27.415000,114.0
103,0:02:23.408000,0:02:23.525000,117.0
104,0:02:21.375000,0:02:21.492000,117.0
105,0:02:19.517000,0:02:19.691000,174.0
106,0:02:17.776000,0:02:17.893000,117.0
107,0:02:16.499000,0:02:16.615000,116.0
