,t1,t2,diff
0,0:01:08.469000,0:01:08.644000,175.0
1,0:01:07.658000,0:01:07.832000,174.0
2,0:01:09.340000,0:01:09.515000,175.0
3,0:01:10.268000,0:01:10.442000,174.0
4,0:01:11.313000,0:01:11.487000,174.0
5,0:01:12.302000,0:01:12.477000,175.0
6,0:01:13.173000,0:01:13.289000,116.0
7,0:01:14.332000,0:01:14.448000,116.0
8,0:01:15.259000,0:01:15.432000,173.0
9,0:01:16.303000,0:01:16.478000,175.0
10,0:01:17.349000,0:01:17.523000,174.0
11,0:01:18.336000,0:01:18.511000,175.0
12,0:01:19.324000,0:01:19.499000,175.0
13,0:01:20.255000,0:01:20.488000,233.0
14,0:01:21.301000,0:01:21.475000,174.0
15,0:01:22.289000,0:01:22.522000,233.0
16,0:01:23.335000,0:01:23.510000,175.0
17,0:01:24.321000,0:01:24.495000,174.0
18,0:01:25.369000,0:01:25.485000,116.0
19,0:01:26.533000,0:01:26.650000,117.0
20,0:01:27.581000,0:01:27.698000,117.0
21,0:01:28.687000,0:01:28.862000,175.0
22,0:01:30.318000,0:01:30.491000,173.0
23,0:01:31.364000,0:01:31.481000,117.0
24,0:01:32.295000,0:01:32.469000,174.0
25,0:01:33.281000,0:01:33.456000,175.0
26,0:01:34.387000,0:01:34.562000,175.0
27,0:01:35.434000,0:01:35.609000,175.0
28,0:01:36.541000,0:01:36.716000,175.0
29,0:01:37.412000,0:01:37.588000,176.0
30,0:01:38.342000,0:01:38.517000,175.0
31,0:01:39.329000,0:01:39.503000,174.0
32,0:01:40.317000,0:01:40.492000,175.0
33,0:01:41.306000,0:01:41.422000,116.0
34,0:01:42.352000,0:01:42.468000,116.0
35,0:01:43.338000,0:01:43.512000,174.0
36,0:01:44.325000,0:01:44.498000,173.0
37,0:01:45.251000,0:01:45.427000,176.0
38,0:01:46.239000,0:01:46.414000,175.0
39,0:01:47.286000,0:01:47.402000,116.0
40,0:01:48.157000,0:01:48.390000,233.0
41,0:01:49.319000,0:01:49.494000,175.0
42,0:01:50.365000,0:01:50.539000,174.0
43,0:01:51.295000,0:01:51.468000,173.0
44,0:01:52.340000,0:01:52.514000,174.0
45,0:01:53.384000,0:01:53.558000,174.0
46,0:01:54.372000,0:01:54.546000,174.0
47,0:01:55.419000,0:01:55.535000,116.0
48,0:01:56.291000,0:01:56.466000,175.0
49,0:01:57.335000,0:01:57.452000,117.0
50,0:01:58.323000,0:01:58.498000,175.0
51,0:01:59.426000,0:01:59.600000,174.0
52,0:02:01.807000,0:02:01.981000,174.0
53,0:02:03.375000,0:02:03.549000,174.0
54,0:02:04.247000,0:02:04.421000,174.0
55,0:02:05.234000,0:02:05.410000,176.0
56,0:02:06.341000,0:02:06.516000,175.0
57,0:02:07.326000,0:02:07.503000,177.0
58,0:02:08.317000,0:02:08.492000,175.0
59,0:02:09.246000,0:02:09.420000,174.0
60,0:02:10.292000,0:02:10.468000,176.0
61,0:02:11.281000,0:02:11.456000,175.0
62,0:02:12.327000,0:02:12.502000,175.0
63,0:02:13.257000,0:02:13.490000,233.0
64,0:02:14.302000,0:02:14.475000,173.0
65,0:02:15.347000,0:02:15.463000,116.0
66,0:02:16.332000,0:02:16.508000,176.0
67,0:02:17.439000,0:02:17.612000,173.0
68,0:02:18.366000,0:02:18.599000,233.0
69,0:02:19.238000,0:02:19.412000,174.0
70,0:02:20.340000,0:02:20.514000,174.0
71,0:02:21.385000,0:02:21.501000,116.0
72,0:02:22.433000,0:02:22.610000,177.0
73,0:02:23.423000,0:02:23.597000,174.0
74,0:02:24.293000,0:02:24.467000,174.0
75,0:02:25.340000,0:02:25.514000,174.0
76,0:02:26.272000,0:02:26.447000,175.0
77,0:02:27.318000,0:02:27.435000,117.0
78,0:02:28.369000,0:02:28.484000,115.0
79,0:02:29.357000,0:02:29.531000,174.0
80,0:02:30.345000,0:02:30.519000,174.0
81,0:02:31.333000,0:02:31.507000,174.0
82,0:02:32.378000,0:02:32.494000,116.0
83,0:02:33.307000,0:02:33.481000,174.0
84,0:02:34.294000,0:02:34.469000,175.0
85,0:02:35.340000,0:02:35.515000,175.0
86,0:02:36.329000,0:02:36.503000,174.0
87,0:02:37.374000,0:02:37.490000,116.0
88,0:02:38.479000,0:02:38.653000,174.0
89,0:02:39.410000,0:02:39.585000,175.0
90,0:02:40.283000,0:02:40.457000,174.0
91,0:02:41.387000,0:02:41.504000,117.0
92,0:02:42.375000,0:02:42.550000,175.0
93,0:02:43.364000,0:02:43.538000,174.0
94,0:02:44.697000,0:02:44.871000,174.0
95,0:02:46.266000,0:02:46.441000,175.0
96,0:02:47.313000,0:02:47.487000,174.0
97,0:02:48.301000,0:02:48.476000,175.0
98,0:02:49.346000,0:02:49.520000,174.0
99,0:02:50.333000,0:02:50.507000,174.0
100,0:02:51.320000,0:02:51.495000,175.0
101,0:02:52.308000,0:02:52.482000,174.0
102,0:02:53.353000,0:02:53.527000,174.0
103,0:02:54.398000,0:02:54.573000,175.0
104,0:02:55.387000,0:02:55.503000,116.0
105,0:02:56.259000,0:02:56.433000,174.0
106,0:02:57.595000,0:02:57.769000,174.0
107,0:02:58.641000,0:02:58.816000,175.0
108,0:02:59.453000,0:02:59.627000,174.0
