,t1,t2,diff
0,0:03:06.397000,0:03:06.512000,115.0
1,0:03:04.592000,0:03:04.708000,116.0
2,0:03:03.720000,0:03:03.836000,116.0
3,0:03:02.558000,0:03:02.675000,117.0
4,0:03:00.640000,0:03:00.756000,116.0
5,0:02:59.362000,0:02:59.479000,117.0
6,0:02:57.736000,0:02:57.852000,116.0
7,0:02:54.947000,0:02:55.065000,118.0
8,0:02:51.227000,0:02:51.343000,116.0
9,0:06:01.466000,0:06:01.522000,56.0
10,0:06:00.244000,0:06:00.360000,116.0
11,0:05:59.256000,0:05:59.372000,116.0
12,0:05:58.288000,0:05:58.442000,154.0
13,0:05:57.397000,0:05:57.513000,116.0
14,0:05:56.411000,0:05:56.526000,115.0
15,0:05:55.480000,0:05:55.596000,116.0
16,0:05:54.491000,0:05:54.549000,58.0
17,0:05:53.678000,0:05:53.794000,116.0
18,0:05:52.921000,0:05:53.037000,116.0
19,0:05:51.588000,0:05:51.705000,117.0
20,0:05:50.368000,0:05:50.484000,116.0
21,0:05:47.459000,0:05:47.575000,116.0
22,0:05:46.296000,0:05:46.412000,116.0
23,0:05:48.738000,0:05:48.855000,117.0
24,0:05:45.367000,0:05:45.483000,116.0
25,0:05:44.369000,0:05:44.485000,116.0
26,0:05:43.380000,0:05:43.498000,118.0
27,0:05:42.391000,0:05:42.508000,117.0
28,0:05:40.009000,0:05:40.126000,117.0
29,0:05:38.793000,0:05:38.909000,116.0
30,0:05:37.806000,0:05:37.922000,116.0
31,0:05:36.471000,0:05:36.587000,116.0
32,0:05:35.367000,0:05:35.483000,116.0
33,0:05:34.319000,0:05:34.435000,116.0
34,0:05:33.389000,0:05:33.505000,116.0
35,0:05:31.359000,0:05:31.474000,115.0
36,0:05:30.313000,0:05:30.429000,116.0
37,0:05:29.382000,0:05:29.498000,116.0
38,0:05:28.395000,0:05:28.519000,124.0
39,0:05:24.913000,0:05:25.029000,116.0
40,0:05:23.519000,0:05:23.634000,115.0
41,0:05:21.544000,0:05:21.660000,116.0
42,0:05:20.672000,0:05:20.788000,116.0
43,0:05:19.336000,0:05:19.452000,116.0
44,0:05:17.380000,0:05:17.477000,97.0
45,0:05:18.464000,0:05:18.580000,116.0
46,0:05:15.267000,0:05:15.384000,117.0
47,0:05:16.316000,0:05:16.433000,117.0
48,0:05:13.467000,0:05:13.524000,57.0
49,0:05:14.512000,0:05:14.629000,117.0
50,0:05:11.548000,0:05:11.664000,116.0
51,0:05:12.302000,0:05:12.419000,117.0
52,0:05:09.694000,0:05:09.809000,115.0
53,0:05:10.389000,0:05:10.505000,116.0
54,0:05:08.710000,0:05:08.826000,116.0
55,0:05:07.082000,0:05:07.198000,116.0
56,0:05:05.687000,0:05:05.803000,116.0
57,0:05:04.699000,0:05:04.873000,174.0
58,0:05:02.317000,0:05:02.433000,116.0
59,0:05:01.446000,0:05:01.561000,115.0
60,0:04:59.413000,0:04:59.530000,117.0
61,0:04:58.427000,0:04:58.543000,116.0
62,0:04:57.558000,0:04:57.673000,115.0
63,0:04:55.872000,0:04:55.988000,116.0
64,0:04:54.539000,0:04:54.655000,116.0
65,0:04:52.567000,0:04:52.682000,115.0
66,0:04:51.463000,0:04:51.578000,115.0
67,0:04:50.359000,0:04:50.475000,116.0
68,0:04:48.503000,0:04:48.618000,115.0
69,0:04:47.341000,0:04:47.458000,117.0
70,0:04:45.599000,0:04:45.716000,117.0
71,0:04:39.563000,0:04:39.621000,58.0
72,0:04:38.458000,0:04:38.575000,117.0
73,0:04:37.354000,0:04:37.471000,117.0
74,0:04:36.309000,0:04:36.425000,116.0
75,0:04:35.379000,0:04:35.495000,116.0
76,0:04:34.448000,0:04:34.565000,117.0
77,0:04:33.461000,0:04:33.577000,116.0
78,0:04:32.415000,0:04:32.531000,116.0
79,0:04:30.325000,0:04:30.500000,175.0
80,0:04:29.280000,0:04:29.454000,174.0
81,0:04:27.362000,0:04:27.478000,116.0
82,0:04:26.492000,0:04:26.607000,115.0
83,0:04:25.620000,0:04:25.737000,117.0
84,0:04:24.517000,0:04:24.633000,116.0
85,0:04:23.358000,0:04:23.475000,117.0
86,0:04:21.558000,0:04:21.674000,116.0
87,0:04:20.397000,0:04:20.513000,116.0
88,0:04:19.002000,0:04:19.118000,116.0
89,0:03:41.469000,0:03:41.525000,56.0
90,0:03:39.498000,0:03:39.613000,115.0
91,0:03:37.347000,0:03:37.464000,117.0
92,0:03:35.374000,0:03:35.490000,116.0
93,0:03:33.513000,0:03:33.629000,116.0
94,0:03:31.425000,0:03:31.583000,158.0
95,0:03:29.508000,0:03:29.566000,58.0
96,0:03:25.620000,0:03:25.735000,115.0
97,0:03:23.470000,0:03:23.586000,116.0
98,0:03:21.382000,0:03:21.497000,115.0
99,0:03:19.056000,0:03:19.173000,117.0
100,0:03:17.661000,0:03:17.778000,117.0
101,0:03:16.033000,0:03:16.149000,116.0
102,0:03:14.697000,0:03:14.813000,116.0
103,0:03:13.417000,0:03:13.534000,117.0
104,0:03:11.557000,0:03:11.674000,117.0
105,0:03:10.571000,0:03:10.688000,117.0
106,0:03:09.004000,0:03:09.120000,116.0
